# cfgfile = ./initcfg/SAGA/SAGA.1905.meiyo_m4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,Azimuth,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,ping_id
82,S01,L01,M12,1.942737,0.0,20.90365,-89.53791,0.0,False,57862.39285,-35.53983,52.48676,13.11619,177.13,-0.09,0.58,57865.397095,-35.51068,43.63245,13.0513,176.71,-0.14,0.89,L0100042.bin
83,S01,L01,M14,1.9061,0.0,20.69803,81.85459,0.0,False,57863.48288,-35.48247,49.3252,13.14272,177.07,0.25,0.56,57866.450485,-35.34298,40.65233,13.05029,176.33,0.07,0.89,L0100042.bin
84,S01,L01,M13,1.920575,0.0,21.42549,-0.8661,0.0,False,57872.392935,-34.2655,23.31434,13.17671,175.18,-0.02,0.72,57875.375015,-33.76517,14.66137,13.03548,174.3,-0.1,0.85,L0100043.bin
85,S01,L01,M11,1.875731,0.0,15.98342,178.1171,0.0,False,57873.48286,-34.13424,20.02561,12.96256,174.93,-0.66,0.78,57876.4201,-33.45761,11.68779,13.09655,174.23,0.35,0.51,L0100043.bin
86,S01,L01,M14,1.90598,0.0,20.64844,88.07603,0.0,False,57882.392925,-31.91952,-5.60135,13.29002,173.2,0.57,0.62,57885.36041,-31.25445,-14.57213,12.82527,173.4,-0.87,1.39,L0100044.bin
87,S01,L01,M12,1.942492,0.0,20.87864,-96.29828,0.0,False,57883.482955,-31.77527,-8.95107,13.24937,173.2,0.02,1.13,57886.486955,-30.76699,-17.46655,12.99247,173.67,0.37,0.88,L0100044.bin
88,S01,L01,M11,1.898206,0.0,18.08898,177.63467,0.0,False,57892.39305,-28.60515,-34.47422,13.17355,175.36,0.53,-0.11,57895.352765,-28.19273,-43.05701,13.17053,176.65,0.07,0.7,L0100045.bin
89,S01,L01,M13,1.892,0.0,19.14026,-0.25695,0.0,False,57893.48308,-28.36351,-37.81356,13.11995,175.92,-0.09,-0.04,57896.436585,-27.99753,-46.13245,13.23235,177.13,0.28,0.82,L0100045.bin
90,S01,L01,M12,1.944987,0.0,21.01349,-102.27136,0.0,False,57902.393085,-26.63555,-63.38446,13.31401,179.35,0.2,-0.0,57905.39958,-26.21472,-72.12162,12.93027,180.2,-0.08,-0.02,L0100046.bin
91,S01,L01,M14,1.909295,0.0,20.9111,94.93051,0.0,False,57903.483115,-26.57652,-66.72237,13.054,179.6,-0.5,0.32,57906.453915,-26.10538,-75.10492,13.03279,180.57,0.44,-0.11,L0100046.bin
92,S01,L01,M13,1.86888,0.0,17.04704,0.05378,0.0,False,57912.40318,-25.87578,-92.43046,12.88593,182.3,-0.3,-0.32,57915.333565,-26.21167,-100.90059,13.20913,183.11,0.09,0.35,L0100047.bin
93,S01,L01,M11,1.925821,0.0,20.38711,177.62128,0.0,False,57913.49321,-25.96709,-95.48215,13.01546,182.64,0.16,-0.19,57916.48054,-26.31192,-104.33988,13.09527,183.39,-0.36,0.4,L0100047.bin
94,S01,L01,M14,1.912875,0.0,21.18166,100.95336,0.0,False,57922.39322,-26.951,-121.51142,12.8622,185.0,-0.87,0.61,57925.3676,-27.18664,-129.89631,13.31598,185.57,0.55,-0.48,L0100048.bin
95,S01,L01,M12,1.953852,0.0,21.62094,-108.5879,0.0,False,57923.48315,-26.95227,-124.47169,12.9993,185.13,-0.08,0.23,57926.49851,-27.63916,-133.36419,13.19843,185.61,-0.27,-0.16,L0100048.bin
96,S01,L01,M11,1.953231,0.0,22.37467,178.17091,0.0,False,57932.393205,-29.06739,-150.08575,13.29303,185.52,0.21,0.64,57935.407945,-29.90206,-158.94839,12.96616,184.97,-0.59,0.65,L0100049.bin
97,S01,L01,M13,1.846565,0.0,14.65353,-0.52638,0.0,False,57933.483235,-29.50479,-153.22945,13.30429,185.51,0.16,0.95,57936.391305,-29.90153,-161.71225,12.95441,184.84,-0.18,-0.06,L0100049.bin
98,S01,L01,M12,1.966252,0.0,22.48234,-113.67461,0.0,False,57942.39336,-31.6059,-178.97708,13.20109,183.56,-0.25,0.63,57945.42112,-32.1992,-187.62189,12.96611,183.01,0.01,0.44,L0100050.bin
99,S01,L01,M14,1.918215,0.0,21.55419,107.48405,0.0,False,57943.483285,-31.82593,-182.04819,13.0874,183.36,-0.14,0.43,57946.463005,-32.41414,-190.71713,12.95311,182.73,-0.29,0.69,L0100050.bin
100,S01,L01,M13,1.829465,0.0,12.46409,-1.38937,0.0,False,57952.393345,-33.49386,-207.88529,13.19842,181.53,-0.23,0.64,57955.284315,-33.79844,-216.1709,13.01955,180.86,-0.14,0.56,L0100051.bin
101,S01,L01,M11,1.986366,0.0,24.52791,178.78402,0.0,False,57953.483375,-33.76206,-210.86106,13.21561,181.21,0.21,1.03,57956.53125,-33.87918,-219.84406,12.89052,180.58,-0.65,0.27,L0100051.bin
102,S01,L01,M14,1.92727,0.0,22.15256,113.01963,0.0,False,57962.39344,-34.44637,-236.5582,13.43327,179.62,0.58,0.66,57965.382215,-34.65033,-245.52271,12.93596,178.58,-0.93,0.9,L0100052.bin
103,S01,L01,M12,1.982212,0.0,23.53424,-118.92885,0.0,False,57963.48347,-34.59033,-239.84226,13.29561,179.35,-0.0,0.86,57966.52719,-34.52276,-248.64361,12.94955,178.42,-0.08,0.43,L0100052.bin
104,S01,L01,M11,2.018756,0.0,26.41421,178.94863,0.0,False,57972.393535,-34.53665,-265.69541,13.08791,177.36,-0.22,0.55,57975.4738,-34.64873,-274.53407,13.18957,177.04,0.22,0.93,L0100053.bin
105,S01,L01,M13,1.81351,0.0,9.97829,-1.99686,0.0,False,57973.483565,-34.53367,-268.79142,13.15025,177.35,0.05,0.42,57976.35858,-34.54885,-277.24933,12.96808,176.92,-0.3,1.02,L0100053.bin
106,S01,L01,M12,1.997767,0.0,24.50986,-123.3753,0.0,False,57982.393585,-33.92177,-294.69815,13.10308,176.99,-0.4,0.61,57985.45286,-33.60086,-303.50209,13.13471,177.5,-0.17,0.36,L0100054.bin
107,S01,L01,M14,1.94194,0.0,23.1443,118.61447,0.0,False,57983.48351,-33.80169,-297.6736,13.23627,177.16,0.19,0.51,57986.486955,-33.64061,-306.47674,13.09352,177.67,-0.29,0.58,L0100054.bin
108,S01,L01,M13,1.80234,0.0,7.71082,-2.14342,0.0,False,57992.39357,-33.09499,-323.46313,13.12629,179.0,-0.29,0.36,57995.257415,-32.92156,-331.8393,13.0495,179.22,-0.17,0.4,L0100055.bin
109,S01,L01,M11,2.057276,0.0,28.43501,178.93347,0.0,False,57993.48361,-33.22475,-326.57355,13.24058,178.96,-0.05,0.96,57996.602395,-32.71036,-335.63611,13.00956,179.77,0.18,-0.44,L0100055.bin
110,S01,L01,M14,1.95782,0.0,24.18121,123.12714,0.0,False,58002.393725,-32.78485,-352.29897,13.09239,180.47,0.43,0.02,58005.41305,-33.0833,-361.20125,13.09679,181.39,-0.25,0.31,L0100056.bin
111,S01,L01,M12,2.018397,0.0,25.69257,-127.85937,0.0,False,58003.483655,-32.71937,-355.50034,13.17694,180.95,0.48,-0.33,58006.56356,-33.25987,-364.56092,13.01185,181.38,-0.51,0.95,L0100056.bin
112,S01,L01,M11,2.094021,0.0,30.20309,179.03101,0.0,False,58012.393775,-33.54657,-381.585,12.9889,182.63,-0.37,0.18,58015.549305,-33.93912,-390.52948,13.16165,182.94,0.07,0.41,L0100057.bin
113,S01,L01,M13,1.79314,0.0,5.1495,-3.48434,0.0,False,58013.4837,-33.65079,-384.65984,12.8867,182.9,-0.42,0.15,58016.338345,-34.0152,-392.90309,13.1006,183.07,-0.14,0.29,L0100057.bin
114,S01,L01,M12,2.040937,0.0,26.93902,-131.32829,0.0,False,58022.39375,-35.07146,-410.57995,12.9906,184.16,-0.33,0.21,58025.496195,-35.68047,-419.51851,13.05726,184.84,-0.03,0.01,L0100058.bin
